caseid,state_fips,state_name,state_pop,county_fips,county_name,county_pop,commonweight,vvweight,gender4,educ,race,hispanic,climate_problem,regulate_carbon,renewable_fuel,clean_air_water,fuel_efficiency,fossil_fuel,paris_agreement
2036974471.0,26,Michigan,10043906,26049,Genesee,401952.0,6.3957375379163,3.717917597,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2015249863.0,26,Michigan,10043906,26099,Macomb,875065.0,1.25591240776057,1.1863570006,1,6,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2039538027.0,26,Michigan,10043906,26115,Monroe,155376.0,0.654889560970575,0.7082088894,1,2,1,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
2032986953.0,26,Michigan,10043906,26163,Wayne,1761595.0,7.1518323576671,,2,5,4,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1998812579.0,26,Michigan,10043906,26109,Menominee,23295.0,1.04794250409084,1.2165353465,2,3,1,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
2044920335.0,26,Michigan,10043906,26125,Oakland,1272787.0,2.93236322537903,,1,2,1,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2036163879.0,26,Michigan,10043906,26125,Oakland,1272787.0,1.5086588616347,0.8428932269,2,5,2,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2037316777.0,26,Michigan,10043906,26147,St. Clair,159886.0,0.142724543541814,,1,3,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1999783887.0,26,Michigan,10043906,26065,Ingham,284388.0,0.779168250147768,0.7984580842000001,1,6,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015478053.0,26,Michigan,10043906,26163,Wayne,1761595.0,1.21839660029986,,1,2,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014394805.0,26,Michigan,10043906,26159,Van Buren,75681.0,3.37516722213168,,2,1,2,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
2042740317.0,26,Michigan,10043906,26115,Monroe,155376.0,5.38782539006574,,1,2,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030648313.0,26,Michigan,10043906,26025,Calhoun,133439.0,2.79385403597126,0.2553667658,2,1,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2038586931.0,26,Michigan,10043906,26125,Oakland,1272787.0,0.778198854942588,0.4894826779,2,2,2,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
2006126501.0,26,Michigan,10043906,26081,Kent,659818.0,1.01949030568443,1.464880621,2,4,1,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2011404803.0,26,Michigan,10043906,26139,Ottawa,300837.0,4.06825938388148,1.4273355733,2,5,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021915381.0,26,Michigan,10043906,26025,Calhoun,133439.0,0.610754146276672,0.6027293703000001,1,3,1,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
1998424307.0,26,Michigan,10043906,26163,Wayne,1761595.0,1.16639406214446,0.9215177962000001,2,4,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2038533627.0,26,Michigan,10043906,26149,St. Joseph,60777.0,0.950067561597391,0.983291227,2,6,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2029581119.0,26,Michigan,10043906,26099,Macomb,875065.0,3.49806653299445,,2,2,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1519431277.0,26,Michigan,10043906,26163,Wayne,1761595.0,0.319842326741983,,2,1,2,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
2013191327.0,26,Michigan,10043906,26027,Cass,51422.0,0.257804380801769,0.7263033572,2,2,5,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2044137447.0,26,Michigan,10043906,26163,Wayne,1761595.0,0.378911965901696,,1,3,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2041090191.0,26,Michigan,10043906,26161,Washtenaw,367307.0,1.36358802526644,0.9906595066,1,5,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2037088155.0,26,Michigan,10043906,26125,Oakland,1272787.0,3.05977640349708,0.8644207329,1,3,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2009824341.0,26,Michigan,10043906,26139,Ottawa,300837.0,0.802206795230088,0.8976913786,1,5,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015400929.0,26,Michigan,10043906,26125,Oakland,1272787.0,1.29125037850835,0.1907079711,1,5,2,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1996384897.0,26,Michigan,10043906,26065,Ingham,284388.0,1.79362322793923,1.0994052641,1,5,1,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2007699863.0,26,Michigan,10043906,26145,Saginaw,188392.0,0.584709484738144,0.3820756158,2,2,2,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2032667525.0,26,Michigan,10043906,26093,Livingston,196097.0,0.766006847152525,1.143442231,2,4,1,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2034530519.0,25,Massachusetts,7025465,25017,Middlesex,1630890.0,2.78178126374885,2.1428085325,1,6,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2045058345.0,25,Massachusetts,7025465,25025,Suffolk,778090.0,2.7524903556888,,1,4,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2013002769.0,25,Massachusetts,7025465,25005,Bristol,581598.0,2.21197782208278,1.2750859869,1,5,2,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2013512663.0,25,Massachusetts,7025465,25017,Middlesex,1630890.0,7.43480613022619,2.208740289,1,3,1,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2015592507.0,25,Massachusetts,7025465,25009,Essex,810054.0,2.02658232647423,1.6966042956,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008105107.0,25,Massachusetts,7025465,25017,Middlesex,1630890.0,4.49569547854619,,1,5,1,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2000042841.0,25,Massachusetts,7025465,25009,Essex,810054.0,1.09720113550103,1.1465128677,1,6,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015431799.0,25,Massachusetts,7025465,25009,Essex,810054.0,1.1310670301508,0.4154129476,1,2,1,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2010487505.0,25,Massachusetts,7025465,25005,Bristol,581598.0,0.731546816974442,0.6569574672,1,5,1,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
2029517265.0,25,Massachusetts,7025465,25021,Norfolk,727727.0,3.60919657631662,2.3746606592,2,2,4,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014749581.0,25,Massachusetts,7025465,25021,Norfolk,727727.0,0.927254538216252,0.9482059014,2,3,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2039001247.0,25,Massachusetts,7025465,25027,Worcester,866439.0,1.20696269763565,1.0374354914,2,4,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2033068281.0,25,Massachusetts,7025465,25009,Essex,810054.0,3.81862283906027,,1,2,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2012679077.0,25,Massachusetts,7025465,25027,Worcester,866439.0,1.61758776152085,1.7244918948999999,2,2,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2037580841.0,25,Massachusetts,7025465,25025,Suffolk,778090.0,1.43310087659057,1.4402033976,2,6,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013773877.0,25,Massachusetts,7025465,25017,Middlesex,1630890.0,2.45579266747205,,2,2,1,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2010973181.0,25,Massachusetts,7025465,25021,Norfolk,727727.0,0.409005554424427,0.4878957365,1,2,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2031441093.0,25,Massachusetts,7025465,25027,Worcester,866439.0,2.16606058356522,2.2883132348,2,6,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000537475.0,25,Massachusetts,7025465,25013,Hampden,461294.0,5.98339032441385,,1,5,1,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2009669715.0,25,Massachusetts,7025465,25003,Berkshire,129592.0,1.40105477208313,1.3810002936,1,5,1,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1984167589.0,25,Massachusetts,7025465,25027,Worcester,866439.0,1.90733601949257,,2,6,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2035419207.0,42,Pennsylvania,12984655,42077,Lehigh,376746.0,0.321144984167936,0.9675677062,2,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2029460511.0,42,Pennsylvania,12984655,42097,Northumberland,90075.0,4.27541254256506,,2,2,1,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2031133961.0,42,Pennsylvania,12984655,42003,Allegheny,1233325.0,2.39371024477441,1.8721445286,1,6,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2034903011.0,42,Pennsylvania,12984655,42091,Montgomery,865483.0,4.39121997433477,2.3567157307,1,3,1,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2014135575.0,42,Pennsylvania,12984655,42045,Delaware,576666.0,0.574951351258695,0.6141116914,2,4,2,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2020848323.0,42,Pennsylvania,12984655,42091,Montgomery,865483.0,0.728063916235035,0.8213896337000001,1,2,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001330443.0,42,Pennsylvania,12984655,42071,Lancaster,557092.0,1.26545232074484,1.0979216082,1,3,1,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1998602255.0,42,Pennsylvania,12984655,42019,Butler,197374.0,2.53611427444894,,1,2,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2029573927.0,42,Pennsylvania,12984655,42015,Bradford,59825.0,0.950813496735346,0.8570049430000001,1,4,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2014707761.0,42,Pennsylvania,12984655,42045,Delaware,576666.0,1.05589898702049,1.1234575247,2,6,1,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
2020917067.0,42,Pennsylvania,12984655,42127,Wayne,51108.0,3.71384684202549,,2,2,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034686233.0,42,Pennsylvania,12984655,42101,Philadelphia,1572341.0,2.53611427444894,,1,2,1,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
2026743399.0,42,Pennsylvania,12984655,42029,Chester,547131.0,0.615975105205203,0.5482857983,2,5,2,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2020186613.0,42,Pennsylvania,12984655,42077,Lehigh,376746.0,0.994794399995737,,2,2,1,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2020618567.0,42,Pennsylvania,12984655,42003,Allegheny,1233325.0,0.974026820662469,1.5888917925000001,2,4,4,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2010773721.0,42,Pennsylvania,12984655,42013,Blair,120774.0,1.45220807860356,,2,3,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1995231513.0,42,Pennsylvania,12984655,42011,Berks,432214.0,0.321144984167936,0.9675677062,2,1,1,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2014869361.0,42,Pennsylvania,12984655,42045,Delaware,576666.0,0.950813496735346,0.8570049430000001,1,3,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011024403.0,42,Pennsylvania,12984655,42091,Montgomery,865483.0,2.22525228011441,1.6729857625,3,2,1,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2014966183.0,42,Pennsylvania,12984655,42043,Dauphin,288943.0,1.3460223685282,1.1008417814,1,5,1,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
2038104627.0,42,Pennsylvania,12984655,42027,Centre,157977.0,0.783855893837054,0.8136729450000001,2,6,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2011404711.0,42,Pennsylvania,12984655,42029,Chester,547131.0,1.54448837273711,5.2200522128,2,1,1,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
1997664391.0,42,Pennsylvania,12984655,42133,York,461464.0,1.46396477308506,1.4539966804,1,2,1,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2012591137.0,42,Pennsylvania,12984655,42095,Northampton,318123.0,1.01940246720759,1.1499293561,2,5,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2010851649.0,42,Pennsylvania,12984655,42011,Berks,432214.0,2.02821502972493,0.8404244832000001,1,2,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2029188587.0,42,Pennsylvania,12984655,42071,Lancaster,557092.0,1.58811613388042,0.32485520160000003,2,2,1,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
2018853769.0,42,Pennsylvania,12984655,42101,Philadelphia,1572341.0,0.480185746906693,1.3279265271,1,4,2,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2035116793.0,42,Pennsylvania,12984655,42027,Centre,157977.0,0.756461273880298,,1,5,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2029255269.0,42,Pennsylvania,12984655,42091,Montgomery,865483.0,1.77448008338944,,2,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2014985935.0,42,Pennsylvania,12984655,42001,Adams,105994.0,3.07913574409401,1.3045960576,2,1,1,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2037002985.0,42,Pennsylvania,12984655,42043,Dauphin,288943.0,2.51834748032304,,1,3,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008865153.0,42,Pennsylvania,12984655,42075,Lebanon,144037.0,0.785086813624481,0.9370326947000001,1,4,1,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1993703055.0,42,Pennsylvania,12984655,42065,Jefferson,43731.0,1.28258022181996,1.4343151991,2,2,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1998862679.0,42,Pennsylvania,12984655,42077,Lehigh,376746.0,0.76611735484357,0.8342007191,1,6,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2032788547.0,42,Pennsylvania,12984655,42011,Berks,432214.0,1.58811613388042,,2,2,1,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2015451529.0,42,Pennsylvania,12984655,42049,Erie,268923.0,0.589196155120176,,2,2,1,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
2008058693.0,42,Pennsylvania,12984655,42101,Philadelphia,1572341.0,2.48621004154275,2.1147607477,1,2,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016252337.0,42,Pennsylvania,12984655,42037,Columbia,65358.0,1.18975089747179,1.2054148653,1,6,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2001298209.0,42,Pennsylvania,12984655,42045,Delaware,576666.0,2.79344792585791,,1,2,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2032966257.0,09,Connecticut,3618707,09001,Fairfield,,2.54230900007937,,1,3,1,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
2016934733.0,09,Connecticut,3618707,09003,Hartford,,1.43117049407354,0.8396162487000001,4,6,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2014610995.0,09,Connecticut,3618707,09005,Litchfield,,2.91894318171986,1.1763542098,2,3,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2011284599.0,09,Connecticut,3618707,09003,Hartford,,0.586896873951123,2.1645381179,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2028996285.0,09,Connecticut,3618707,09009,New Haven,,7.92952858620287,,1,1,2,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
2013001707.0,09,Connecticut,3618707,09011,New London,,1.55831403187426,1.4701254728,2,6,1,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1998444317.0,09,Connecticut,3618707,09001,Fairfield,,0.60788568296955,0.5648538581,1,5,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1999942591.0,09,Connecticut,3618707,09013,Tolland,,0.289452337661863,0.9667719552,1,2,1,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
2039697363.0,09,Connecticut,3618707,09003,Hartford,,2.44728888358485,1.2718281702,1,2,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2039665565.0,09,Connecticut,3618707,09003,Hartford,,3.26566917601059,1.0831322778,3,2,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2010899725.0,09,Connecticut,3618707,09001,Fairfield,,1.12979738549892,0.9251370879,3,5,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2039693869.0,24,Maryland,6183257,24510,Baltimore city,570475.0,0.876172771662877,1.1408999522,2,3,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2034745015.0,24,Maryland,6183257,24033,Prince George's,952326.0,10.2993683958987,,2,5,4,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2032914481.0,24,Maryland,6183257,24031,Montgomery,1058546.0,0.380868137859496,,1,2,2,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2014370923.0,24,Maryland,6183257,24003,Anne Arundel,598102.0,2.47650882116337,3.1218256033,2,5,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2012651547.0,24,Maryland,6183257,24033,Prince George's,952326.0,0.522008563398223,0.28287687910000003,1,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1998510525.0,24,Maryland,6183257,24031,Montgomery,1058546.0,2.47675609730042,1.9705857785,1,6,4,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2039665455.0,24,Maryland,6183257,24003,Anne Arundel,598102.0,9.77802846044716,3.9240892244000003,2,2,1,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2013772649.0,24,Maryland,6183257,24510,Baltimore city,570475.0,0.869215252959985,0.5787827830000001,1,3,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011235921.0,24,Maryland,6183257,24005,Baltimore,847672.0,0.758208736255381,1.2989603051,2,5,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013227809.0,24,Maryland,6183257,24031,Montgomery,1058546.0,1.56396695254129,1.8613621715000002,4,6,4,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2018977559.0,24,Maryland,6183257,24005,Baltimore,847672.0,0.671239276630087,0.6189883252,2,2,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009335987.0,24,Maryland,6183257,24005,Baltimore,847672.0,0.553586599671422,0.3657326269,2,2,1,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2039634445.0,24,Maryland,6183257,24510,Baltimore city,570475.0,0.627826789665884,,1,6,4,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2034873161.0,24,Maryland,6183257,24027,Howard,335900.0,0.892770224923871,0.9593022722000001,2,5,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2032929377.0,24,Maryland,6183257,24005,Baltimore,847672.0,1.0650103650548,0.9332624070000001,1,3,1,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
2014495703.0,24,Maryland,6183257,24031,Montgomery,1058546.0,0.380714889538692,0.5834307347000001,1,5,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023283771.0,24,Maryland,6183257,24510,Baltimore city,570475.0,5.49475089723094,2.0078315757,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022707763.0,24,Maryland,6183257,24005,Baltimore,847672.0,6.58989775895037,,2,2,7,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
2029083505.0,24,Maryland,6183257,24043,Washington,154503.0,3.18886178579579,,1,3,2,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
1998684629.0,33,New Hampshire,1396647,33017,Strafford,132469.0,7.7227856515872,,1,2,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015707157.0,33,New Hampshire,1396647,33005,Cheshire,77380.0,1.01547754164498,1.094411472,1,2,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1996125485.0,33,New Hampshire,1396647,33013,Merrimack,156220.0,0.814019577527515,1.2423136221,2,3,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2021563863.0,33,New Hampshire,1396647,33005,Cheshire,77380.0,2.06653471812068,,1,5,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2014087671.0,13,Georgia,10929992,13139,Hall,213142.0,1.22725946345513,1.2892927409000001,2,2,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2003801167.0,13,Georgia,10929992,13311,White,28778.0,0.84745943764304,1.0960355008,1,4,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1999260237.0,13,Georgia,10929992,13067,Cobb,774481.0,1.24427966313978,1.3325780639,2,4,2,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2023363127.0,13,Georgia,10929992,13067,Cobb,774481.0,0.922116813664291,1.0063835556,2,2,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2009741735.0,13,Georgia,10929992,13073,Columbia,162441.0,2.9936344092298,0.8965766482,1,4,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2042328343.0,13,Georgia,10929992,13121,Fulton,1076385.0,0.585015624066554,0.500203529,1,6,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
