state_fips,state_name,workers_total,drove_alone,drive_alone_share
01,Alabama,2202219,1793843,0.8145615853827435
02,Alaska,351270,230375,0.6558345432288553
04,Arizona,3306501,2265989,0.6853132661989214
05,Arkansas,1313067,1046074,0.7966646027963539
06,California,18331098,12294684,0.6707009040047683
08,Colorado,3040109,2030919,0.668041507722256
09,Connecticut,1800904,1271480,0.7060231972387201
10,Delaware,476276,349746,0.734334713485458
11,District of Columbia,368917,103858,0.2815213178031915
12,Florida,10084671,7270422,0.7209379463147583
13,Georgia,5071788,3665945,0.7228111663973337
15,Hawaii,697455,459918,0.6594231885928125
16,Idaho,885092,650915,0.7354207246252367
17,Illinois,6144838,4134010,0.6727614300002701
18,Indiana,3240266,2505274,0.7731692398093243
19,Iowa,1601329,1228450,0.7671440409809602
20,Kansas,1448523,1111725,0.7674886763965778
21,Kentucky,2002703,1558006,0.7779515984147425
22,Louisiana,1989634,1579417,0.7938228840078125
23,Maine,674654,487572,0.722699339216843
24,Maryland,3104587,2059286,0.6633043300123334
25,Massachusetts,3609524,2263487,0.6270873943489501
26,Michigan,4616510,3492210,0.7564610495807439
27,Minnesota,2935254,2064026,0.7031848010427718
28,Mississippi,1236023,1020331,0.8254951566435252
29,Missouri,2938053,2245968,0.7644409409905131
30,Montana,532519,383327,0.719837226465159
31,Nebraska,1008387,779557,0.773073234779901
32,Nevada,1453257,1047087,0.7205105497513516
33,New Hampshire,731095,539134,0.7374335756639014
34,New Jersey,4541915,2894952,0.6373857723008907
35,New Mexico,910663,684054,0.7511604182886534
36,New York,9350213,4643190,0.49658654834921945
37,North Carolina,4991806,3659780,0.7331574985085558
38,North Dakota,404739,320227,0.7911938310862062
39,Ohio,5591912,4280762,0.7655274260396087
40,Oklahoma,1800553,1416562,0.7867371857423803
41,Oregon,2012012,1322959,0.6575303725822709
42,Pennsylvania,6195018,4314799,0.6964949900064858
44,Rhode Island,543710,403989,0.7430229350205072
45,South Carolina,2381241,1855586,0.7792516591138822
46,South Dakota,453223,351687,0.7759690042208802
47,Tennessee,3255576,2514844,0.7724728281569836
48,Texas,13992594,10242925,0.7320247410880356
49,Utah,1650868,1140661,0.6909462173838248
50,Vermont,330599,231827,0.701233216071434
51,Virginia,4308387,2980565,0.6918053090402511
53,Washington,3750832,2425891,0.64676077201005
54,West Virginia,728505,575846,0.7904489330889973
55,Wisconsin,2971525,2244938,0.7554834638779752
56,Wyoming,282769,214239,0.7576467010174383
