state_fips,state_name,households_total,samesex_couples,samesex_share
01,Alabama,1969105,11360,0.005769118457370227
02,Alaska,267865,1806,0.006742202228734624
04,Arizona,2796790,28541,0.010204913490108302
05,Arkansas,1189160,7377,0.006203538632311884
06,California,13434847,155953,0.01160809646734347
08,Colorado,2325576,25961,0.011163255898753685
09,Connecticut,1420170,13693,0.009641803446066317
10,Delaware,396209,4947,0.01248583449644001
11,District of Columbia,321556,8668,0.026956424386421027
12,Florida,8550911,94025,0.010995904412991786
13,Georgia,4008013,36351,0.0090695813611383
15,Hawaii,488991,5913,0.01209224709657233
16,Idaho,693821,3916,0.005644107053548394
17,Illinois,5001904,41483,0.008293441857340725
18,Indiana,2681537,20772,0.007746303705673276
19,Iowa,1303763,7402,0.005677412229063104
20,Kansas,1160715,7992,0.0068854111474392935
21,Kentucky,1791991,14533,0.008109973766609319
22,Louisiana,1783168,12727,0.007137297214844591
23,Maine,589085,6936,0.011774192179396861
24,Maryland,2339510,21329,0.009116866352355835
25,Massachusetts,2762070,35233,0.012756012700619462
26,Michigan,4040168,27446,0.006793281863526467
27,Minnesota,2282967,19747,0.008649708909502415
28,Mississippi,1131760,5183,0.004579592846539903
29,Missouri,2484834,19877,0.00799932711802881
30,Montana,452683,2523,0.00557343659912124
31,Nebraska,786885,4374,0.005558626737070855
32,Nevada,1183393,13403,0.011325907792254982
33,New Hampshire,551186,5607,0.010172609609097473
34,New Jersey,3478355,26485,0.007614231439861658
35,New Mexico,825021,9754,0.01182272936082839
36,New York,7668956,81677,0.010650341454560439
37,North Carolina,4186924,32746,0.007821016096781312
38,North Dakota,325079,1526,0.0046942435531055525
39,Ohio,4829571,35736,0.007399414979094417
40,Oklahoma,1542780,11756,0.007620010630161138
41,Oregon,1701548,21439,0.01259970332896868
42,Pennsylvania,5235339,41676,0.007960516023890717
44,Rhode Island,436902,4258,0.0097458926715831
45,South Carolina,2070390,14398,0.006954245335419897
46,South Dakota,358552,1271,0.0035448135835248443
47,Tennessee,2768743,20176,0.007287061312660655
48,Texas,10747240,97051,0.009030318481768343
49,Utah,1094896,9984,0.00911867428504625
50,Vermont,269466,3670,0.01361952899438148
51,Virginia,3326260,26288,0.00790317052786012
53,Washington,3020558,36863,0.012204036472731198
54,West Virginia,721448,4854,0.006728135638327364
55,Wisconsin,2446028,16103,0.0065833261107395335
56,Wyoming,238176,1532,0.006432218191589413
