state_fips,state_name,estimate,n_respondents
24,Maryland,1.0,19
50,Vermont,1.0,3
19,Iowa,0.9166666666666666,12
32,Nevada,0.8888888888888888,9
23,Maine,0.875,8
25,Massachusetts,0.8636363636363636,22
34,New Jersey,0.782608695652174,23
16,Idaho,0.7777777777777778,9
42,Pennsylvania,0.7777777777777778,36
12,Florida,0.7666666666666667,60
27,Minnesota,0.7619047619047619,21
06,California,0.7522935779816514,109
29,Missouri,0.75,16
13,Georgia,0.75,28
04,Arizona,0.75,20
26,Michigan,0.7419354838709677,31
08,Colorado,0.7368421052631579,19
40,Oklahoma,0.7272727272727273,11
10,Delaware,0.7142857142857143,7
33,New Hampshire,0.7142857142857143,7
37,North Carolina,0.7083333333333334,24
55,Wisconsin,0.7,20
51,Virginia,0.6818181818181818,22
47,Tennessee,0.6818181818181818,22
36,New York,0.6724137931034483,58
49,Utah,0.6666666666666666,12
38,North Dakota,0.6666666666666666,6
41,Oregon,0.6666666666666666,12
53,Washington,0.6666666666666666,21
11,District of Columbia,0.6666666666666666,6
48,Texas,0.6388888888888888,72
46,South Dakota,0.6,5
31,Nebraska,0.6,10
39,Ohio,0.59375,32
22,Louisiana,0.5882352941176471,17
28,Mississippi,0.5833333333333334,12
09,Connecticut,0.5833333333333334,12
44,Rhode Island,0.5714285714285714,7
45,South Carolina,0.5625,16
15,Hawaii,0.5555555555555556,9
17,Illinois,0.5526315789473685,38
56,Wyoming,0.5,4
30,Montana,0.5,6
02,Alaska,0.5,4
21,Kentucky,0.5,16
20,Kansas,0.5,10
01,Alabama,0.4375,16
54,West Virginia,0.42857142857142855,7
18,Indiana,0.4090909090909091,22
35,New Mexico,0.3333333333333333,9
05,Arkansas,0.3076923076923077,13
