state_fips,state_name,estimate,n_respondents
01,Alabama,0.4334084208829177,937
02,Alaska,0.7046058398471816,135
04,Arizona,0.6153703701891249,1615
05,Arkansas,0.5540533503521945,540
06,California,0.714396674397389,4910
08,Colorado,0.6586433344634377,1038
09,Connecticut,0.7338710262019612,594
10,Delaware,0.6327715979910999,219
11,District of Columbia,0.8077551533071419,165
12,Florida,0.601997461087206,4401
13,Georgia,0.6114321572280326,1974
15,Hawaii,0.7498427475174086,208
16,Idaho,0.5731053242237716,304
17,Illinois,0.6761176524795944,2213
18,Indiana,0.5878690571063309,1273
19,Iowa,0.6339883246740565,590
20,Kansas,0.5568940099776087,461
21,Kentucky,0.5382969825665764,941
22,Louisiana,0.5443120582198295,706
23,Maine,0.6830352479368771,323
24,Maryland,0.6989065442675402,1012
25,Massachusetts,0.7569617736022183,1089
26,Michigan,0.5845851313758592,1942
27,Minnesota,0.6178219153716203,987
28,Mississippi,0.5443702446057129,480
29,Missouri,0.5827625366797587,1289
30,Montana,0.5525010108084921,223
31,Nebraska,0.6419900528385779,343
32,Nevada,0.6590256034830191,754
33,New Hampshire,0.6980085001439227,282
34,New Jersey,0.6830036259576273,1562
35,New Mexico,0.624805392480792,415
36,New York,0.7301067101376749,3692
37,North Carolina,0.6116215322655018,1979
38,North Dakota,0.49752497772287757,128
39,Ohio,0.6563022464813453,2497
40,Oklahoma,0.5445716003450944,681
41,Oregon,0.716165868056054,960
42,Pennsylvania,0.605843604943107,3084
44,Rhode Island,0.7295665968222337,197
45,South Carolina,0.5743008217543969,972
46,South Dakota,0.4689004216884709,169
47,Tennessee,0.5951758390164683,1303
48,Texas,0.617971780977575,4723
49,Utah,0.6783778179680542,498
50,Vermont,0.8306299304917117,112
51,Virginia,0.6503326460377252,1638
53,Washington,0.7086061025229051,1270
54,West Virginia,0.5934164719668084,454
55,Wisconsin,0.5983497181295659,1249
56,Wyoming,0.5338931613241908,94
