state_fips,state_name,estimate,n_respondents
01,Alabama,0.4,15
02,Alaska,1.0,2
04,Arizona,0.6363636363636364,22
05,Arkansas,0.4444444444444444,9
06,California,0.6153846153846154,117
08,Colorado,0.7222222222222222,18
09,Connecticut,0.5,8
10,Delaware,0.6666666666666666,3
11,District of Columbia,1.0,2
12,Florida,0.6417910447761194,67
13,Georgia,0.65625,32
15,Hawaii,0.5,4
16,Idaho,0.3333333333333333,6
17,Illinois,0.6578947368421053,38
18,Indiana,0.3,20
19,Iowa,0.6,10
20,Kansas,0.5555555555555556,9
21,Kentucky,0.5,14
22,Louisiana,0.6428571428571429,14
23,Maine,0.5,4
24,Maryland,0.6111111111111112,18
25,Massachusetts,0.5714285714285714,21
26,Michigan,0.5,30
27,Minnesota,0.35294117647058826,17
28,Mississippi,0.5555555555555556,9
29,Missouri,0.7222222222222222,18
30,Montana,0.3333333333333333,3
31,Nebraska,0.4,5
32,Nevada,0.5,10
33,New Hampshire,1.0,4
34,New Jersey,0.6428571428571429,28
35,New Mexico,0.6666666666666666,6
36,New York,0.7931034482758621,58
37,North Carolina,0.5,32
38,North Dakota,0.5,2
39,Ohio,0.6285714285714286,35
40,Oklahoma,0.5,12
41,Oregon,0.9230769230769231,13
42,Pennsylvania,0.7105263157894737,38
44,Rhode Island,0.6666666666666666,3
45,South Carolina,0.5625,16
46,South Dakota,0.0,3
47,Tennessee,0.5,20
48,Texas,0.5227272727272727,88
49,Utah,0.7,10
50,Vermont,1.0,2
51,Virginia,0.5769230769230769,26
53,Washington,0.6363636363636364,22
54,West Virginia,0.6,5
55,Wisconsin,0.6111111111111112,18
56,Wyoming,0.5,2
