state_fips,state_name,n_respondents,baseline,glm_mrp,glmer_mrp,srp,mrdeep,glmerstan
01,Alabama,15,0.4,0.600745996332523,0.5643740865027114,0.6215125165370042,0.5812822,0.5714283248875046
02,Alaska,2,0.5,0.6869003974656684,0.6889918900311173,0.6427720253418738,0.58325076,0.6895528423977321
04,Arizona,22,0.6818181818181818,0.5740977896717705,0.6253300511404762,0.6424350226487807,0.58990455,0.6203097616564874
05,Arkansas,9,0.5555555555555556,0.44976421036217823,0.5358527828356288,0.6052235148655316,0.58243185,0.50572562
06,California,117,0.6410256410256411,0.723112491914159,0.7297669155883818,0.6809226646968104,0.58138186,0.7262440679435569
08,Colorado,18,0.7222222222222222,0.6643012484042625,0.7115397043034838,0.6518149393037008,0.58244586,0.698956786
09,Connecticut,8,0.75,0.7469985326015621,0.6962053529040431,0.6568119204955153,0.5840677,0.7056895845961113
10,Delaware,3,0.3333333333333333,0.7251021940724076,0.7122342022974842,0.6428296219299308,0.58534586,0.7079821503115407
11,District of Columbia,2,1.0,0.9476318067385187,0.920315339,0.7112621407090901,0.57754356,0.9182348588800612
12,Florida,67,0.6417910447761194,0.6184026758875028,0.5950741146217392,0.6458250900848949,0.5828069,0.6046155646139263
13,Georgia,32,0.625,0.6278983081808096,0.6472497737577189,0.6480089940151311,0.58214253,0.634095697
15,Hawaii,4,0.25,0.6936755086242682,0.7183598545350687,0.6708901744917634,0.5836172,0.7049469157207744
16,Idaho,6,0.3333333333333333,0.36348869090535174,0.4542260550306912,0.5958034752657181,0.5801928,0.427949659
17,Illinois,38,0.5789473684210527,0.7381555797618778,0.695805707,0.6556128221436883,0.58142304,0.715166351
18,Indiana,20,0.5,0.7126387984783494,0.6063515429887034,0.6163389919313043,0.5809155,0.6394443946543137
19,Iowa,10,0.9,0.5779657042381232,0.6082771889015636,0.6087903875026486,0.5834209,0.5967167886281968
20,Kansas,9,0.6666666666666666,0.5983617375282921,0.6032598495301148,0.6263969386438575,0.5809978,0.6009307482313719
21,Kentucky,14,0.5,0.6058783818521893,0.5445196797562295,0.6025828804888446,0.58270824,0.5694184269347734
22,Louisiana,13,0.4615384615384615,0.6896911182116748,0.7058201676575881,0.636307034,0.5814335,0.6965819184052598
23,Maine,4,0.5,0.7448770810950986,0.6525703909962431,0.6099924051378263,0.5860938,0.6683408849764675
24,Maryland,18,0.6666666666666666,0.6832018654345827,0.7499767814697907,0.6688213142711527,0.5819845,0.7298805741681422
25,Massachusetts,21,0.7142857142857143,0.792423191774298,0.7324340428901266,0.6540140751106739,0.57853967,0.7451591818390173
26,Michigan,30,0.6666666666666666,0.6767544800992487,0.6303652049657222,0.6368599686932259,0.5825638,0.6555759239760082
27,Minnesota,17,0.6470588235294118,0.6328958478374876,0.6598117092363268,0.6344650772859199,0.58271354,0.6527778725816599
28,Mississippi,9,0.5555555555555556,0.6037073374997601,0.595117639,0.6318318624727843,0.5817383,0.5932492842675502
29,Missouri,18,0.5555555555555556,0.5677827473198176,0.5576805624366351,0.6081393542625594,0.58151215,0.5564052028620855
30,Montana,3,0.3333333333333333,0.5258999729427292,0.6093041216185572,0.5945861040870292,0.5814958,0.584542012
31,Nebraska,5,0.6,0.5665855468283364,0.5857154685104994,0.5998351631555771,0.58097297,0.5706940572447418
32,Nevada,10,0.7,0.603695307876724,0.6342336272184602,0.6351104837785908,0.58468664,0.6197990840822099
