state_fips,state_name,estimate,n_respondents
01,Alabama,0.4611688324913601,15
02,Alaska,0.5020267042779799,2
04,Arizona,0.6729626874350356,22
05,Arkansas,0.49206779362506053,9
06,California,0.6627681743733566,117
08,Colorado,0.7013952875684382,18
09,Connecticut,0.7369552006637897,8
10,Delaware,0.6512457173139756,3
11,District of Columbia,0.9213617312483677,2
12,Florida,0.6264976742206255,67
13,Georgia,0.6079350619451157,32
15,Hawaii,0.6444807785312576,4
16,Idaho,0.5311308319941083,6
17,Illinois,0.7112238444902776,38
18,Indiana,0.6089238659893887,20
19,Iowa,0.6206187790217004,10
20,Kansas,0.6469763701343546,9
21,Kentucky,0.47248282537489905,14
22,Louisiana,0.5272998321670641,13
23,Maine,0.7077688533260544,4
24,Maryland,0.6743882798239996,18
25,Massachusetts,0.7854813818193804,21
26,Michigan,0.6339492825517586,30
27,Minnesota,0.7023158902751702,17
28,Mississippi,0.4618237948064669,9
29,Missouri,0.6428907775594703,18
30,Montana,0.5436538551673793,3
31,Nebraska,0.6215577277679092,5
32,Nevada,0.6781073277629209,10
33,New Hampshire,0.6924704851837798,4
34,New Jersey,0.6649751919443552,28
35,New Mexico,0.7088552849040868,6
36,New York,0.72952058235644,58
37,North Carolina,0.5780876361149149,32
38,North Dakota,0.5600115144137465,2
39,Ohio,0.6196784587190054,35
40,Oklahoma,0.5101135223785022,12
41,Oregon,0.6162355928554457,13
42,Pennsylvania,0.602723944386744,38
44,Rhode Island,0.7171314653121755,3
45,South Carolina,0.5293070292354379,16
46,South Dakota,0.5706192217606223,3
47,Tennessee,0.48717314219340585,20
48,Texas,0.6273831091367484,88
49,Utah,0.6128322904485245,10
50,Vermont,0.7625038088418217,2
51,Virginia,0.6088709329348717,26
53,Washington,0.6282229907231143,22
54,West Virginia,0.4370430845840013,5
55,Wisconsin,0.6273096567148009,18
56,Wyoming,0.49724350352076774,2
