state_fips,state_name,estimate,n_respondents
01,Alabama,0.4857389636413081,15
02,Alaska,0.6327270004835253,2
04,Arizona,0.638683661012999,22
05,Arkansas,0.502676694677954,9
06,California,0.6595246370186229,117
08,Colorado,0.6412673079665878,18
09,Connecticut,0.5922533097541551,8
10,Delaware,0.5947356302158592,3
11,District of Columbia,0.9310669926691163,2
12,Florida,0.6229655686694535,67
13,Georgia,0.597400186593525,32
15,Hawaii,0.6760638312159813,4
16,Idaho,0.554030065497647,6
17,Illinois,0.6182559536814487,38
18,Indiana,0.5238244083215206,20
19,Iowa,0.49887759579240565,10
20,Kansas,0.5208269099948052,9
21,Kentucky,0.5273868260577664,14
22,Louisiana,0.517323838495689,14
23,Maine,0.5803334591821258,4
24,Maryland,0.6314899142144963,18
25,Massachusetts,0.6800256387458474,21
26,Michigan,0.5208129601668785,30
27,Minnesota,0.5814259749634451,17
28,Mississippi,0.4657613225508195,9
29,Missouri,0.5375006552305575,18
30,Montana,0.548777678634602,3
31,Nebraska,0.5031516798104329,5
32,Nevada,0.6203458638121377,10
33,New Hampshire,0.5561281631316081,4
34,New Jersey,0.6541719063917075,28
35,New Mexico,0.5948216615355051,6
36,New York,0.783983737763415,58
37,North Carolina,0.5661032491890801,32
38,North Dakota,0.4796085308220235,2
39,Ohio,0.5225399391094036,35
40,Oklahoma,0.5304548337703541,12
41,Oregon,0.6556063806792272,13
42,Pennsylvania,0.5900622823843741,38
44,Rhode Island,0.5518715525639641,3
45,South Carolina,0.5236202972533212,16
46,South Dakota,0.48496273724043515,3
47,Tennessee,0.5345093060886219,20
48,Texas,0.6024345836930423,88
49,Utah,0.6200220622089097,10
50,Vermont,0.5980660743470354,2
51,Virginia,0.6009235291234678,26
53,Washington,0.6643771112426999,22
54,West Virginia,0.5030880595398088,5
55,Wisconsin,0.5125217241544205,18
56,Wyoming,0.5368392301019017,2
