state_fips,state_name,estimate
15,Hawaii,0.5733277
09,Connecticut,0.56986374
06,California,0.5695628
34,New Jersey,0.5695617
33,New Hampshire,0.5693477
01,Alabama,0.5692667
24,Maryland,0.56900823
08,Colorado,0.56894195
40,Oklahoma,0.56881934
37,North Carolina,0.5687548
36,New York,0.56874716
04,Arizona,0.56867266
20,Kansas,0.56863594
02,Alaska,0.5681016
31,Nebraska,0.56802166
12,Florida,0.56801057
53,Washington,0.5680004
42,Pennsylvania,0.56796604
23,Maine,0.5679423
16,Idaho,0.5679086
47,Tennessee,0.5677305
19,Iowa,0.5676964
21,Kentucky,0.5676911
46,South Dakota,0.56760424
18,Indiana,0.5675547
30,Montana,0.5674399
28,Mississippi,0.5674232
05,Arkansas,0.56733674
17,Illinois,0.56721646
51,Virginia,0.56718546
45,South Carolina,0.5671424
38,North Dakota,0.56710255
54,West Virginia,0.56708014
56,Wyoming,0.56695855
55,Wisconsin,0.5667069
39,Ohio,0.5666491
41,Oregon,0.56664735
29,Missouri,0.5665876
49,Utah,0.56648725
13,Georgia,0.56648487
25,Massachusetts,0.5664094
27,Minnesota,0.5662025
48,Texas,0.56614214
26,Michigan,0.56612414
22,Louisiana,0.56595194
10,Delaware,0.5658091
44,Rhode Island,0.5656962
11,District of Columbia,0.5647454
35,New Mexico,0.56451154
50,Vermont,0.5636536
32,Nevada,0.5634825
