state_fips,state_name,estimate
50,Vermont,0.5841795
53,Washington,0.58236337
24,Maryland,0.5817526
22,Louisiana,0.5815445
56,Wyoming,0.5813894
34,New Jersey,0.58131343
40,Oklahoma,0.58121485
06,California,0.5811636
01,Alabama,0.5807516
55,Wisconsin,0.5806445
09,Connecticut,0.5806331
16,Idaho,0.58050525
21,Kentucky,0.5804298
42,Pennsylvania,0.5802579
20,Kansas,0.5801182
29,Missouri,0.5799757
30,Montana,0.5799528
47,Tennessee,0.5799269
18,Indiana,0.57986593
39,Ohio,0.5798072
31,Nebraska,0.5796697
23,Maine,0.57965124
13,Georgia,0.5796334
28,Mississippi,0.5795449
35,New Mexico,0.57954
02,Alaska,0.57951045
05,Arkansas,0.57941824
46,South Dakota,0.57904536
12,Florida,0.578931
36,New York,0.57890254
45,South Carolina,0.57884413
54,West Virginia,0.57882667
19,Iowa,0.57880026
37,North Carolina,0.57866585
10,Delaware,0.57859725
51,Virginia,0.5783208
33,New Hampshire,0.57803357
41,Oregon,0.5780076
27,Minnesota,0.5779522
38,North Dakota,0.577946
48,Texas,0.5779196
08,Colorado,0.57791305
49,Utah,0.5777505
04,Arizona,0.57771236
25,Massachusetts,0.5776012
44,Rhode Island,0.5766795
26,Michigan,0.5759378
17,Illinois,0.57546204
32,Nevada,0.5740392
15,Hawaii,0.5733305
11,District of Columbia,0.5726705
