state_fips,state_name,mrdeep
01,Alabama,0.6532233
02,Alaska,0.68687844
04,Arizona,0.6603942
05,Arkansas,0.66689116
06,California,0.685782
08,Colorado,0.6708374
09,Connecticut,0.6429424
10,Delaware,0.6382366
11,District of Columbia,0.67542225
12,Florida,0.6367968
13,Georgia,0.6621208
15,Hawaii,0.6977883
16,Idaho,0.644082
17,Illinois,0.6520771
18,Indiana,0.68924224
19,Iowa,0.6531633
20,Kansas,0.64455616
21,Kentucky,0.65634125
22,Louisiana,0.68206096
23,Maine,0.70380074
24,Maryland,0.68206143
25,Massachusetts,0.6714574
26,Michigan,0.6594121
27,Minnesota,0.6665301
28,Mississippi,0.6519867
29,Missouri,0.6564431
30,Montana,0.6596378
31,Nebraska,0.66861665
32,Nevada,0.6772667
33,New Hampshire,0.649407
34,New Jersey,0.67299235
35,New Mexico,0.689733
36,New York,0.66978425
37,North Carolina,0.68534523
38,North Dakota,0.66962355
39,Ohio,0.6577307
40,Oklahoma,0.6907889
41,Oregon,0.6461612
42,Pennsylvania,0.6994473
44,Rhode Island,0.6360465
45,South Carolina,0.65819246
46,South Dakota,0.6872309
47,Tennessee,0.66314757
48,Texas,0.69247407
49,Utah,0.6911527
50,Vermont,0.6852081
51,Virginia,0.67874455
53,Washington,0.6674079
54,West Virginia,0.67386883
55,Wisconsin,0.6710749
56,Wyoming,0.6970996
