state_fips,state_name,estimate,n_respondents
01,Alabama,0.5592972392164617,15
02,Alaska,0.5998314027831981,2
04,Arizona,0.6301707039037542,22
05,Arkansas,0.5943723240336297,9
06,California,0.6347434082578608,117
08,Colorado,0.6373916022692391,18
09,Connecticut,0.6361384566643183,8
10,Delaware,0.6220094510936517,3
11,District of Columbia,0.6852094230209952,2
12,Florida,0.6425238748970532,67
13,Georgia,0.6346019746815548,32
15,Hawaii,0.6295109536855833,4
16,Idaho,0.5728228139571754,6
17,Illinois,0.6286879390801673,38
18,Indiana,0.5873493056082192,20
19,Iowa,0.62661961630473,10
20,Kansas,0.6163764760807705,9
21,Kentucky,0.567109843773892,14
22,Louisiana,0.594535369218238,13
23,Maine,0.6012685149551175,4
24,Maryland,0.6522896208473755,18
25,Massachusetts,0.6430809446441381,21
26,Michigan,0.6256140094625553,30
27,Minnesota,0.6197025474372098,17
28,Mississippi,0.6125357245591065,9
29,Missouri,0.5974063297865893,18
30,Montana,0.5863569343533821,3
31,Nebraska,0.632176595075885,5
32,Nevada,0.6469775311381307,10
33,New Hampshire,0.6453156214860185,4
34,New Jersey,0.6450008543930043,28
35,New Mexico,0.6654023668800936,6
36,New York,0.6805099266445163,58
37,North Carolina,0.57791030222889,32
38,North Dakota,0.5947502147759345,2
39,Ohio,0.6075464954110109,35
40,Oklahoma,0.5796083318071239,12
41,Oregon,0.621635379701526,13
42,Pennsylvania,0.6046880301391737,38
44,Rhode Island,0.6215202878982221,3
45,South Carolina,0.6018133245127533,16
46,South Dakota,0.574408645564874,3
47,Tennessee,0.5669079393144933,20
48,Texas,0.6386930647408536,88
49,Utah,0.6040488674479044,10
50,Vermont,0.5996538875286576,2
51,Virginia,0.6391362083789839,26
53,Washington,0.6421816162330408,22
54,West Virginia,0.5862925492796205,5
55,Wisconsin,0.6332110917432308,18
56,Wyoming,0.59757204883131,2
