Baseline (Naive Disaggregation) — Diagnostic Summary
=======================================================

Outcome variable: renewable_fuel
Total survey respondents (non-NaN): 4962
States with estimates: 51
States with NaN (no respondents): 0

Estimate range: [0.3333, 0.9000]
Mean estimate: 0.5976
Median estimate: 0.5933

Respondents per state:
  Min: 9
  Max: 583
  Mean: 97.3

State-level estimates:
state_fips           state_name  estimate  n_respondents
        01              Alabama  0.407895             76
        02               Alaska  0.727273             11
        04              Arizona  0.545455            110
        05             Arkansas  0.521739             46
        06           California  0.692967            583
        08             Colorado  0.590909             88
        09          Connecticut  0.759259             54
        10             Delaware  0.600000             15
        11 District of Columbia  0.900000             10
        12              Florida  0.552239            335
        13              Georgia  0.654321            162
        15               Hawaii  0.761905             21
        16                Idaho  0.655172             29
        17             Illinois  0.634921            189
        18              Indiana  0.588235            102
        19                 Iowa  0.645833             48
        20               Kansas  0.581395             43
        21             Kentucky  0.447761             67
        22            Louisiana  0.492754             69
        23                Maine  0.714286             21
        24             Maryland  0.695652             92
        25        Massachusetts  0.669903            103
        26             Michigan  0.517007            147
        27            Minnesota  0.517647             85
        28          Mississippi  0.590909             44
        29             Missouri  0.604396             91
        30              Montana  0.470588             17
        31             Nebraska  0.551724             29
        32               Nevada  0.520833             48
        33        New Hampshire  0.809524             21
        34           New Jersey  0.625899            139
        35           New Mexico  0.562500             32
        36             New York  0.712329            292
        37       North Carolina  0.563291            158
        38         North Dakota  0.416667             12
        39                 Ohio  0.580460            174
        40             Oklahoma  0.627119             59
        41               Oregon  0.709677             62
        42         Pennsylvania  0.541667            192
        44         Rhode Island  0.600000             15
        45       South Carolina  0.518987             79
        46         South Dakota  0.428571             14
        47            Tennessee  0.641509            106
        48                Texas  0.593258            445
        49                 Utah  0.627451             51
        50              Vermont  0.600000             10
        51             Virginia  0.632812            128
        53           Washington  0.689655            116
        54        West Virginia  0.461538             26
        55            Wisconsin  0.586207             87
        56              Wyoming  0.333333              9
