state_fips,state_name,estimate,n_respondents
01,Alabama,0.6428571428571429,14
02,Alaska,0.4,15
04,Arizona,0.65,20
05,Arkansas,0.5714285714285714,14
06,California,0.5,16
08,Colorado,0.7142857142857143,14
09,Connecticut,0.375,16
10,Delaware,0.5,12
11,District of Columbia,0.5,18
12,Florida,0.6666666666666666,15
13,Georgia,0.5,14
15,Hawaii,0.7,10
16,Idaho,0.6,10
17,Illinois,0.5454545454545454,11
18,Indiana,0.47368421052631576,19
19,Iowa,0.4375,16
20,Kansas,0.4782608695652174,23
21,Kentucky,0.5454545454545454,11
22,Louisiana,0.25,16
23,Maine,0.6666666666666666,15
24,Maryland,0.6,15
25,Massachusetts,0.14285714285714285,14
26,Michigan,0.5238095238095238,21
27,Minnesota,0.5263157894736842,19
28,Mississippi,0.6111111111111112,18
29,Missouri,0.5833333333333334,12
30,Montana,0.5,12
31,Nebraska,0.4375,16
32,Nevada,0.4375,16
33,New Hampshire,0.5625,16
34,New Jersey,0.4,15
35,New Mexico,0.5625,16
36,New York,0.875,16
37,North Carolina,0.5833333333333334,12
38,North Dakota,0.5454545454545454,11
39,Ohio,0.4,5
40,Oklahoma,0.45,20
41,Oregon,0.5789473684210527,19
42,Pennsylvania,0.3333333333333333,15
44,Rhode Island,0.5714285714285714,14
45,South Carolina,0.4583333333333333,24
46,South Dakota,0.6086956521739131,23
47,Tennessee,0.42857142857142855,21
48,Texas,0.6923076923076923,13
49,Utah,0.5,14
50,Vermont,0.46153846153846156,13
51,Virginia,0.5454545454545454,11
53,Washington,0.4,15
54,West Virginia,0.5,12
55,Wisconsin,0.631578947368421,19
56,Wyoming,0.4166666666666667,12
