state_fips,estimate,state_name,n_respondents
11,0.8457021623311621,District of Columbia,6
15,0.7827586086955577,Hawaii,9
50,0.7761487802827569,Vermont,3
24,0.7715894551166818,Maryland,19
25,0.7683595841367573,Massachusetts,22
53,0.751239285508793,Washington,21
06,0.7504761957478949,California,109
44,0.7441718597428578,Rhode Island,7
09,0.7418339318096447,Connecticut,12
41,0.7364221591221933,Oregon,12
10,0.7295834417454634,Delaware,7
36,0.7285869791194121,New York,58
34,0.7260541379909629,New Jersey,23
33,0.7251611263323837,New Hampshire,7
51,0.7218411668467382,Virginia,22
17,0.7210117337207654,Illinois,38
08,0.7203929282302729,Colorado,19
23,0.7195924643343848,Maine,8
27,0.7129122900861965,Minnesota,21
37,0.7066075635459524,North Carolina,24
13,0.6984480876515,Georgia,28
26,0.6983328963696079,Michigan,31
55,0.697591485802534,Wisconsin,20
32,0.6956051753444824,Nevada,9
42,0.6921231524910865,Pennsylvania,36
04,0.6910280541577327,Arizona,20
12,0.680904643822832,Florida,60
39,0.6744314593266607,Ohio,32
35,0.6742963926318047,New Mexico,9
45,0.6645570979865455,South Carolina,16
20,0.6485593942178541,Kansas,10
29,0.6479745846327098,Missouri,16
19,0.6455007330765046,Iowa,12
49,0.6449725159633569,Utah,12
47,0.6400913458368397,Tennessee,22
31,0.6349576802890917,Nebraska,10
16,0.632211995800411,Idaho,9
46,0.6288355018821823,South Dakota,5
48,0.6265875475190641,Texas,72
18,0.6212159260348368,Indiana,22
28,0.6162301044487426,Mississippi,12
30,0.6127554272810014,Montana,6
05,0.6055432034298753,Arkansas,13
21,0.5998165265022256,Kentucky,16
01,0.5991032798281288,Alabama,16
40,0.5965430174299817,Oklahoma,11
02,0.5939604726598443,Alaska,4
22,0.5326034106570652,Louisiana,17
54,0.5053145659856453,West Virginia,7
38,0.39321304857699335,North Dakota,6
56,0.30080729610356505,Wyoming,4
