state_fips,state_name,estimate
11,District of Columbia,0.89438138
24,Maryland,0.870588781
15,Hawaii,0.860714453
34,New Jersey,0.845723958
51,Virginia,0.841604178
36,New York,0.835370496
6,California,0.830732389
25,Massachusetts,0.829072054
53,Washington,0.827824651
8,Colorado,0.824467911
37,North Carolina,0.82176657
10,Delaware,0.821309195
13,Georgia,0.819822969
27,Minnesota,0.817945359
50,Vermont,0.815118405
9,Connecticut,0.81201831
46,South Dakota,0.811475009
41,Oregon,0.809702741
44,Rhode Island,0.808537087
42,Pennsylvania,0.806577647
2,Alaska,0.80239981
45,South Carolina,0.799967438
33,New Hampshire,0.790806293
4,Arizona,0.789929453
35,New Mexico,0.787445469
12,Florida,0.78582708
32,Nevada,0.784543165
20,Kansas,0.783194466
31,Nebraska,0.783112253
19,Iowa,0.777634701
30,Montana,0.773522236
23,Maine,0.772363861
49,Utah,0.771378419
29,Missouri,0.76782032
16,Idaho,0.754247279
17,Illinois,0.744577018
28,Mississippi,0.723714895
26,Michigan,0.721749596
48,Texas,0.717838445
38,North Dakota,0.717790821
55,Wisconsin,0.714558629
1,Alabama,0.702125174
47,Tennessee,0.695945217
54,West Virginia,0.695286976
40,Oklahoma,0.693945281
5,Arkansas,0.688964369
39,Ohio,0.688773136
22,Louisiana,0.688371175
56,Wyoming,0.668302701
21,Kentucky,0.660985271
18,Indiana,0.657365387
