state_fips,state_name,estimate
42,Pennsylvania,0.4589292
23,Maine,0.45746878
54,West Virginia,0.45178887
05,Arkansas,0.4516771
53,Washington,0.45095724
45,South Carolina,0.4504657
19,Iowa,0.44953048
21,Kentucky,0.4491904
33,New Hampshire,0.44729334
31,Nebraska,0.4472792
40,Oklahoma,0.4470633
15,Hawaii,0.44668013
32,Nevada,0.44603902
47,Tennessee,0.44516698
48,Texas,0.4443006
24,Maryland,0.44418174
13,Georgia,0.44403765
34,New Jersey,0.44372132
02,Alaska,0.44301546
37,North Carolina,0.44272667
38,North Dakota,0.44264066
49,Utah,0.44260883
06,California,0.442379
12,Florida,0.4415921
28,Mississippi,0.4413178
04,Arizona,0.4412482
27,Minnesota,0.44083887
51,Virginia,0.44082195
22,Louisiana,0.4404551
39,Ohio,0.44043532
46,South Dakota,0.4403354
29,Missouri,0.4397439
50,Vermont,0.43931556
56,Wyoming,0.43917397
09,Connecticut,0.43859017
17,Illinois,0.43852618
20,Kansas,0.43786377
26,Michigan,0.43729937
41,Oregon,0.4367819
16,Idaho,0.43651354
36,New York,0.4356456
30,Montana,0.4354024
35,New Mexico,0.4349359
10,Delaware,0.43440595
55,Wisconsin,0.433987
44,Rhode Island,0.4315513
11,District of Columbia,0.4315405
25,Massachusetts,0.43005297
01,Alabama,0.4297833
18,Indiana,0.42756778
08,Colorado,0.4227945
